#####################################
# REGIONS
#####################################
Africa,,,,Africa,,,,
African Union,,,,African Union,,,,
Central Asia,,,,Central Asia,,,,
Côte d'Ivoire,,,,Côte d'Ivoire,,,,
Eastern Europe,,,,Eastern Europe,,,,
European Union,,,,European Union,,,,
Far East,,,,Far East,,,,
Former colon,,,,Former colon,,,,
Horn of Africa,,,,Horn of Africa,,,,
Levant,,,,Levant,,,,
Maghreb,,,,Maghreb,,,,
Mashrek,,,,Mashrek,,,,
Mashreq,,,,Mashreq,,,,
Mediterranean,,,,Mediterranean,,,,
Middle East,,,,Middle East,,,,
North Africa,,,,North Africa,,,,
Pacific,,,,Pacific,,,,
Sahel,,,,Sahel,,,,
South America,,,,South America,,,,
South Eastern Europe,,,,South Eastern Europe,,,,
Southern Caucasus,,,,Southern Caucasus,,,,
Southern Mediterranean,,,,Southern Mediterranean,,,,
Soviet,,,,Soviet,,,,
Sub-sahara,,,,Sub-sahara,sub saharian,sub-Saharan,sub sahara,sub-saharian
United Nations,,,,United Nations,,,,
Western Balkans,,,,Western Balkans,,,,
Western Europe,,,,Western Europe,,,,
Yugoslavia,,,,Yugoslavia,,,,
#####################################
# COUNTRIES
#####################################
Afghanistan,Afghanistan,Kabul,Afghan,,,,,
Aland Islands,Aland Islands,Mariehamn,,,,,,
Albania,Albania,Tirana,Albanian,,,,,
Algeria,Algeria,Algiers,Algerian,,,,,
American Samoa,American Samoa,Pago Pago,,,,,,
Andorra,Andorra,Andorra la Vella,Andorran,,,,,
Angola,Angola,Luanda,Angolan,,,,,
Anguilla,Anguilla,The Valley,,,,,,
Antarctica,Antarctica,,,,,,,
Antigua and Barbuda,Antigua and Barbuda,St. John's,,,,,,
Argentina,Argentina,Buenos Aires,Argentinian,,,,,
Armenia,Armenia,Yerevan,Armenian,,,,,
Aruba,Aruba,Oranjestad,Aruban,,,,,
Australia,Australia,Canberra,Australian,,,,,
Austria,Austria,Vienna,Austrian,,,,,
Azerbaijan,Azerbaijan,Baku,Azeri,,,,,
Bahamas,Bahamas,Nassau,Bahamian,,,,,
Bahrain,Bahrain,Manama,Bahraini,,,,,
